iso_alpha;pop
AUS;35
USA;390
GBR;135
ITA;10
USA;390
PRI;84
USA;390
USA;390
USA;390
USA;390
USA;390
USA;390
USA;390
USA;390
PRI;84
USA;390
GBR;135
DOM;4
USA;390
PRI;84
ITA;10
CAN;114
COL;50
GBR;135
USA;390
USA;390
CAN;114
USA;390
USA;390
USA;390
KOR;21
CAN;114
KOR;21
USA;390
CAN;114
USA;390
USA;390
MEX;8
USA;390
KOR;21
USA;390
PRI;84
USA;390
COL;50
USA;390
USA;390
PRI;84
JAM;5
PRI;84
USA;390
USA;390
USA;390
PRI;84
COL;50
ARG;15
USA;390
USA;390
USA;390
AUS;35
GBR;135
USA;390
PAN;11
CUB;5
ARG;15
PRI;84
GBR;135
CAN;114
USA;390
GBR;135
PRI;84
USA;390
KOR;21
AUS;35
COL;50
USA;390
USA;390
USA;390
USA;390
NLD;15
NOR;5
GBR;135
USA;390
USA;390
USA;390
USA;390
USA;390
USA;390
USA;390
NLD;15
USA;390
GBR;135
GBR;135
GBR;135
COL;50
USA;390
GBR;135
IND;15
IND;15
CAN;114
USA;390
USA;390
BRA;28
USA;390
USA;390
USA;390
SWE;18
USA;390
USA;390
BRA;28
IND;15
USA;390
USA;390
USA;390
USA;390
USA;390
AUS;35
USA;390
USA;390
NLD;15
USA;390
USA;390
GBR;135
USA;390
GBR;135
AUS;35
PRI;84
USA;390
USA;390
GBR;135
PRI;84
USA;390
GBR;135
USA;390
COL;50
GBR;135
GBR;135
USA;390
CAN;114
BRA;28
MEX;8
PRI;84
PHL;1
DEU;5
GBR;135
GBR;135
BRA;28
USA;390
ARG;15
USA;390
USA;390
CAN;114
USA;390
PRI;84
CAN;114
USA;390
CAN;114
USA;390
BRA;28
USA;390
BRA;28
TUR;1
GBR;135
GBR;135
SWE;18
AUS;35
USA;390
AUS;35
KOR;21
USA;390
USA;390
PRI;84
BRA;28
CAN;114
IRL;5
USA;390
USA;390
GBR;135
USA;390
GBR;135
USA;390
PNG;1
PRI;84
GBR;135
USA;390
GBR;135
GBR;135
COL;50
GBR;135
CAN;114
USA;390
USA;390
USA;390
GBR;135
FRA;5
USA;390
SWE;18
PRI;84
USA;390
USA;390
USA;390
AUS;35
USA;390
USA;390
GBR;135
GBR;135
PRI;84
USA;390
USA;390
GBR;135
ITA;10
USA;390
CAN;114
USA;390
CAN;114
USA;390
USA;390
USA;390
GBR;135
PRI;84
PRI;84
CAN;114
CAN;114
DOM;4
THA;3
USA;390
USA;390
GBR;135
COL;50
USA;390
CAN;114
CAN;114
CAF;8
COL;50
USA;390
ITA;10
CAN;114
CAN;114
USA;390
JAM;5
USA;390
USA;390
NLD;15
PRI;84
PRI;84
USA;390
MEX;8
USA;390
PRI;84
PRI;84
USA;390
COL;50
KOR;21
BEL;2
GBR;135
GBR;135
GBR;135
USA;390
CUB;5
PRI;84
CAF;8
CAN;114
ARG;15
USA;390
USA;390
USA;390
AUS;35
USA;390
PRI;84
USA;390
COL;50
USA;390
KOR;21
USA;390
COL;50
GBR;135
USA;390
NOR;5
GBR;135
KOR;21
USA;390
GBR;135
ARG;15
USA;390
USA;390
USA;390
AUS;35
PRI;84
USA;390
NLD;15
CAN;114
CAF;8
GBR;135
PRI;84
USA;390
USA;390
PAN;11
USA;390
USA;390
CAN;114
CAN;114
CAN;114
USA;390
BRA;28
USA;390
USA;390
GBR;135
USA;390
USA;390
CAN;114
IND;15
USA;390
GBR;135
USA;390
USA;390
AUS;35
USA;390
NLD;15
USA;390
USA;390
USA;390
COL;50
USA;390
COL;50
GBR;135
BRA;28
GBR;135
IND;15
USA;390
USA;390
AUS;35
USA;390
PRI;84
BRA;28
USA;390
PRI;84
USA;390
GBR;135
USA;390
CAN;114
PRI;84
BRA;28
USA;390
CAN;114
USA;390
GBR;135
USA;390
KOR;21
USA;390
SWE;18
USA;390
USA;390
SWE;18
USA;390
GBR;135
GBR;135
USA;390
USA;390
PAN;11
USA;390
USA;390
AUS;35
CAN;114
USA;390
CAN;114
IRL;5
USA;390
USA;390
COL;50
AUS;35
GBR;135
USA;390
IND;15
USA;390
USA;390
GBR;135
GBR;135
CAN;114
MEX;8
PAN;11
SWE;18
PRI;84
ARG;15
USA;390
USA;390
GBR;135
USA;390
USA;390
CAN;114
USA;390
USA;390
GBR;135
PRI;84
FRA;5
GBR;135
USA;390
CAN;114
DEU;5
PRI;84
USA;390
COL;50
AUS;35
USA;390
GBR;135
PRI;84
GBR;135
USA;390
ITA;10
USA;390
CAN;114
CAN;114
GBR;135
CAN;114
USA;390
USA;390
USA;390
USA;390
USA;390
THA;3
CAN;114
PRI;84
PRI;84
DOM;4
COL;50
COL;50
GBR;135
USA;390
GBR;135
CAN;114
CAN;114
USA;390
ITA;10
USA;390
CAN;114
CAN;114
CAN;114
USA;390
PAN;11
JAM;5
USA;390
PRI;84
USA;390
PRI;84
PRI;84
NLD;15
KOR;21
COL;50
USA;390
USA;390
COL;50
PRI;84
CAN;114
ARG;15
GBR;135
USA;390
CAN;114
PRI;84
CUB;5
GBR;135
USA;390
PRI;84
CAN;114
AUS;35
GBR;135
KOR;21
USA;390
USA;390
USA;390
USA;390
ARG;15
COL;50
GBR;135
CAN;114
USA;390
KOR;21
PRI;84
GBR;135
NOR;5
USA;390
AUS;35
GBR;135
PAN;11
USA;390
USA;390
CAN;114
CAN;114
GBR;135
CAN;114
NLD;15
USA;390
USA;390
CAN;114
CAN;114
USA;390
COL;50
IND;15
CAN;114
USA;390
USA;390
BRA;28
USA;390
IND;15
USA;390
USA;390
GBR;135
GBR;135
USA;390
COL;50
BRA;28
AUS;35
USA;390
USA;390
KOR;21
NLD;15
USA;390
BRA;28
USA;390
BRA;28
USA;390
USA;390
USA;390
ARG;15
CAN;114
PRI;84
GBR;135
AUS;35
PRI;84
GBR;135
USA;390
IND;15
USA;390
PRI;84
USA;390
MEX;8
USA;390
USA;390
COL;50
SWE;18
COL;50
CAN;114
AUS;35
PRI;84
GBR;135
CAN;114
USA;390
USA;390
USA;390
CAN;114
PRI;84
PRI;84
GBR;135
CAN;114
USA;390
COL;50
USA;390
USA;390
USA;390
SWE;18
CAN;114
GBR;135
USA;390
BRA;28
CAN;114
USA;390
USA;390
USA;390
CAN;114
GBR;135
CAF;8
USA;390
USA;390
CAN;114
AUS;35
CAF;8
GBR;135
COL;50
IRL;5
DEU;5
USA;390
BRA;28
USA;390
USA;390
SWE;18
GBR;135
GBR;135
PRI;84
CAN;114
COL;50
GBR;135
USA;390
COL;50
FRA;5
PRI;84
USA;390
GBR;135
USA;390
USA;390
USA;390
GBR;135
GBR;135
PRI;84
AUS;35
CAN;114
CAN;114
USA;390
CAN;114
CAN;114
GBR;135
ITA;10
PRI;84
CAN;114
USA;390
CAN;114
USA;390
USA;390
CAN;114
CAN;114
CAN;114
USA;390
GBR;135
CAN;114
USA;390
CAN;114
USA;390
USA;390
PRI;84
CAN;114
CAN;114
DOM;4
PRI;84
CAN;114
CAN;114
USA;390
ITA;10
CAN;114
GBR;135
CAN;114
CAN;114
COL;50
USA;390
CAN;114
CAN;114
CAN;114
USA;390
USA;390
CAN;114
CAN;114
USA;390
COL;50
PAN;11
CAN;114
USA;390
PRI;84
USA;390
PRI;84
GBR;135
KOR;21
CAN;114
JAM;5
USA;390
PRI;84
USA;390
COL;50
NLD;15
ARG;15
GBR;135
PRI;84
KOR;21
USA;390
AUS;35
CUB;5
PRI;84
PRI;84
GBR;135
USA;390
USA;390
PAN;11
COL;50
SWE;18
GBR;135
PRI;84
CAN;114
USA;390
USA;390
AUS;35
USA;390
KOR;21
GBR;135
NOR;5
USA;390
USA;390
USA;390
NLD;15
BRA;28
GBR;135
GBR;135
USA;390
GBR;135
BRA;28
USA;390
KOR;21
USA;390
IND;15
CAN;114
IND;15
USA;390
USA;390
COL;50
PRI;84
USA;390
USA;390
BRA;28
CAN;114
USA;390
USA;390
USA;390
USA;390
USA;390
SWE;18
IND;15
USA;390
BRA;28
USA;390
CAN;114
AUS;35
BRA;28
USA;390
USA;390
GBR;135
PRI;84
NLD;15
USA;390
USA;390
USA;390
GBR;135
USA;390
USA;390
SWE;18
GBR;135
USA;390
AUS;35
USA;390
PRI;84
GBR;135
BRA;28
USA;390
BRA;28
GBR;135
USA;390
ARG;15
USA;390
GBR;135
USA;390
USA;390
CAN;114
PRI;84
PRI;84
GBR;135
USA;390
USA;390
USA;390
COL;50
GBR;135
COL;50
USA;390
DEU;5
SWE;18
CAN;114
COL;50
MEX;8
USA;390
USA;390
USA;390
USA;390
USA;390
USA;390
COL;50
GBR;135
AUS;35
USA;390
USA;390
CAN;114
AUS;35
USA;390
USA;390
USA;390
FRA;5
USA;390
GBR;135
USA;390
GBR;135
SWE;18
GBR;135
GBR;135
IRL;5
GBR;135
COL;50
CAN;114
USA;390
PRI;84
GBR;135
AUS;35
USA;390
GBR;135
GBR;135
PRI;84
GBR;135
USA;390
GBR;135
USA;390
ITA;10
USA;390
USA;390
CAN;114
USA;390
USA;390
CAF;8
GBR;135
USA;390
USA;390
CAN;114
CAF;8
PRI;84
PRI;84
CAN;114
SWE;18
USA;390
GBR;135
THA;3
COL;50
CAN;114
CAN;114
CAN;114
USA;390
COL;50
CAN;114
CAN;114
USA;390
ITA;10
KOR;21
CAN;114
USA;390
NLD;15
JAM;5
USA;390
PRI;84
PRI;84
USA;390
BEL;2
COL;50
PRI;84
PRI;84
USA;390
KOR;21
GBR;135
MEX;8
USA;390
CUB;5
GBR;135
USA;390
PRI;84
PRI;84
PRI;84
GBR;135
ARG;15
USA;390
AUS;35
USA;390
KOR;21
COL;50
USA;390
USA;390
GBR;135
USA;390
GBR;135
USA;390
ARG;15
COL;50
NOR;5
GBR;135
PRI;84
AUS;35
CAN;114
NLD;15
USA;390
USA;390
GBR;135
USA;390
USA;390
USA;390
COL;50
USA;390
PAN;11
GBR;135
CAN;114
CAN;114
USA;390
USA;390
CAN;114
s;1
USA;390
USA;390
USA;390
BRA;28
GBR;135
USA;390
USA;390
USA;390
CAF;8
USA;390
AUS;35
USA;390
USA;390
IND;15
GBR;135
USA;390
GBR;135
USA;390
USA;390
USA;390
COL;50
USA;390
NLD;15
COL;50
USA;390
USA;390
GBR;135
GBR;135
COL;50
CAN;114
USA;390
USA;390
PRI;84
