nume;artist;vizualizari;venituri;lansare;aparitie;durata;gen;tara;colab
STAY (with Justin Bieber);The Kid LAROI;68764542;343.822,71 USD;09.07.2021;02.09.2021;2:21;POP;Australia;Da
INDUSTRY BABY (with Jack Harlow);Lil Nas X;43663527;218.317,64 USD;23.07.2021;02.09.2021;3:32;HIP-HOP/RAP;SUA;Da
Bad Habits;Ed Sheeran;34182580;170.912,90 USD;11.06.2021;02.09.2021;3:32;POP;Marea Britanie;Nu
Beggin';Måneskin;32620597;163.102,99 USD;08.12.2017;02.09.2021;3:31;ROCK;Italia;Nu
Hurricane;Kanye West;30609671;153.048,36 USD;08.08.2021;02.09.2021;4:03;HIP-HOP/RAP;SUA;Nu
Pepas;Farruko;29398007;146.990,04 USD;08.12.2021;02.09.2021;4:47;LATIN URBAN;Puerto Rico;Nu
good 4 u;Olivia Rodrigo;29366737;146.833,69 USD;21.05.2021;02.09.2021;2:58;POP;SUA;Nu
Need To Know;Doja Cat;28000403;140.002,02 USD;24.06.2021;02.09.2021;3:30;POP;SUA;Nu
Woman;Doja Cat;26632882;133.164,41 USD;27.06.2021;02.09.2021;2:25;POP;SUA;Nu
Jail;Kanye West;24792859;123.964,30 USD;29.08.2021;02.09.2021;4:57;HIP-HOP/RAP;SUA;Nu
Happier Than Ever;Billie Eilish;24448545;122.242,73 USD;30.07.2021;02.09.2021;4:58;ALTERNATIVE;SUA;Nu
Off The Grid;Kanye West;24302344;121.511,72 USD;29.08.2021;02.09.2021;5:39;HIP-HOP/RAP;SUA;Nu
MONTERO (Call Me By Your Name);Lil Nas X;23040130;115.200,65 USD;17.09.2021;02.09.2021;2:17;POP;SUA;Nu
Kiss Me More (with SZA);Doja Cat;22451916;112.259,58 USD;09.04.2021;02.09.2021;3:28;POP;SUA;Da
Todo De Ti;Rauw Alejandro;20724487;103.622,44 USD;22.05.2021;02.09.2021;3:19;LATIN URBAN;Puerto Rico;Nu
Praise God;Kanye West;19702684;98.513,42 USD;29.08.2021;02.09.2021;3:46;HIP-HOP/RAP;SUA;Nu
Heat Waves;Glass Animals;19628570;98.142,85 USD;07.08.2020;02.09.2021;3:58;POP;Marea Britanie;Nu
Volví;Aventura;18925587;94.627,94 USD;03.08.2021;02.09.2021;3:50;LATIN URBAN;Republica Dominicană;Nu
Moon;Kanye West;18904930;94.524,65 USD;29.08.2021;02.09.2021;2:36;HIP-HOP/RAP;SUA;Nu
Yonaguni;Bad Bunny;18618312;93.091,56 USD;04.06.2021;02.09.2021;3:26;LATIN URBAN;Puerto Rico;Nu
I WANNA BE YOUR SLAVE;Måneskin;17808726;89.043,63 USD;19.03.2021;02.09.2021;2:53;ROCK;Italia;Nu
Take My Breath;The Weeknd;17722841;88.614,21 USD;06.08.2021;02.09.2021;3:40;R&B/SOUL;Canada;Nu
Qué Más Pues?;J Balvin;17110678;85.553,39 USD;28.05.2021;02.09.2021;3:37;LATIN URBAN;Columbia;Nu
Levitating (with DaBaby);Dua Lipa;17032677;85.163,39 USD;27.03.2020;02.09.2021;3:23;POP;Marea Britanie;Da
traitor;Olivia Rodrigo;16858476;84.292,38 USD;21.05.2021;02.09.2021;3:49;POP;SUA;Nu
Believe What I Say;Kanye West;16052001;80.260,01 USD;29.08.2021;02.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
Peaches (with Daniel Caesar & Giveon);Justin Bieber;15563753;77.818,77 USD;19.03.2021;02.09.2021;3:18;POP;Canada;Da
